Repository,Pushed_on,description,category,useful,Notes
joshua5201/ckann , 2013-09-07 05:41:16 , Automatically post CKHS's announcements to FB,junk,,
jrmerz/node-ckan , 2014-04-01 17:12:48 , Node.js wrapper for CKAN api,function,*,
jsonmurphy/ckan-buildout , 2013-04-19 19:52:25 , Buildout configuration for the ckan platform,unk,,
karluiz/ckan , 2013-03-15 14:25:35 , ckan pruebas,junk,,
kata-csc/ckanext-ddi , 2014-05-07 12:27:14 , DDI import tool for CKAN,harvest,,
kata-csc/ckanext-irods , 2012-09-05 09:09:21 , iRODS extension for CKAN.,,,
kata-csc/ckanext-kata , 2014-05-08 12:15:10 , KATA extensions for CKAN,local,,
kata-csc/ckanext-metadata , 2012-09-05 09:10:02 ," Universal metadata harvester for CKAN, uses DDI and OAI-PMH harvesters to streamline the harvesting to one harvester.",harvest,,
kata-csc/ckanext-oaipmh , 2014-05-07 12:36:34 , OAI PMH extension to CKAN,function,*,
kata-csc/ckanext-rems , 2014-05-05 16:16:20 , ,unk,,
kata-csc/ckanext-shibboleth , 2014-05-05 15:28:03 , CKAN shibboleth identification plugin,authentication,*,
kata-csc/ckanext-sitemap , 2012-09-05 09:11:54 , Sitemap search engine support for CKAN,function,,
kata-csc/ckanext-urn , 2012-09-05 09:12:38 , URN fetching extension for CKAN,,,
keitheis/ckan-intro-zh_TW , 2013-07-10 16:27:29 ," ?????????CKAN, Drupal, CiviCRM ???????????????  ???CKAN - ??????  ???CKAN ?????????????????  http://registrano.com/events/3ac818",local,,
kindly/ckan_dockered , 2014-02-06 09:55:40 , base container for ckan.,unk,,
kindly/ckan_pycsw_import , 2013-04-02 19:53:50 , ,harvest,,
kindly/ckan-azure , 2013-10-14 15:12:23 , ckan-azure,unk,,
kindly/ckanext-spatial , 2011-10-12 00:08:44 , ,,,
kindly/ckantest , 2011-11-10 18:34:25 , Comprehensive Knowledge Archive Network,,,
knudmoeller/ckanext-test , 2013-03-15 11:36:41 , Minimal CKAN Plugin for testing purposes,junk,,
knudmoeller/ckan-vagrant-puppet , 2012-11-14 12:37:33 , experimental vagrant+puppet recipe for CKAN1.8,,,
KPEBETKA/FuCkan , 2014-02-24 20:42:45 , Little and fast scanner with monitoring changes in the state port mapping,junk,,
larsyencken/ckan-vm , 2013-11-15 04:49:07 , A Vagrant virtual machine for the CKAN open source data portal.,install,,
lassesvestergaard/aarhusmiddleware , 2013-05-29 11:29:54 , Middleware for harvesting proprietary data and put into CKAN,harvest,,
lassesvestergaard/ckan , 2013-05-01 16:59:24 ," Create, insert and retrieve data from a CKAN instance",function,,
Launch-with-1-Click/aws-ckan , 2014-04-19 07:43:06 ," CKAN, the world’s leading  open-source data portal platform - See more at: http://ckan.org/",unk,,
LeeDongHoon/ckancustomfield , 2013-07-30 02:13:09 , ,unk,,
LeeDongHoon/ckancustomfieldtest1 , 2013-07-29 08:29:07 , ,junk,,
LeeDongHoon/ckanextcustomfields , 2013-07-30 02:20:40 , ,unk,,
LeeDongHoon/ckanext-MYEXTENSION , 2013-07-26 01:59:12 , ckanext-MYEXTENSION,unk,,
LeeDongHoon/ckanfields , 2013-07-30 05:21:51 , ,unk,,
LeedsDataMill/Ckan , 2014-03-10 13:17:06 , Ckan,unk,,
leggers/ckan_skin , 2014-05-05 02:11:26 , ,unk,,
lightbase/ckanext-datadaemon , 2012-10-08 18:48:35 , Ckan based datadaemon that loads an RDF and store it as a resource,,,
lightbase/ckanext-lightbase , 2012-10-08 18:52:06 , Lightbase extension for Ckan,,,
liyouyiyi/CKAN_Code , 2013-10-09 10:41:05 , ,unk,,
liyouyiyi/CKAN1.8 , 2013-10-09 10:17:40 , ,unk,,
liyouyiyi/test1 , 2013-10-09 09:34:24 , It is the code of CKAN1.8,junk,,
lizardsystem/odp , 2013-11-12 13:44:20 , Open Data Portal based on CKAN,function,,
lncd/CKAN-SWORD , 2012-09-13 13:52:58 , CKAN SWORD extension,,,
lod-cloud/ckan-lod-validator , 2012-01-05 15:48:29 , CKAN LOD Validator,,,
Luckisstar/ckanext-ggmeta , 2013-11-27 09:37:34 , Custom Metadata for GG,metadata,,
lukec/net-ckan , 2010-04-04 17:24:21 , A Perl REST client for CKAN,,,
maulikkamdar/ckanext-feedback , 2014-04-11 14:13:11 , Naive code to include a simple feedback form for submitting data requests the CKAN System. ,function,*,
memaldi/ckanext-silk , 2014-03-11 08:36:16 , A plugin to integrate Silk Link Discovery Framework into CKAN,function,,
miccolis/portal , 2012-02-06 01:48:02 , Data directory CouchApp. A simplified CKAN,,,
momochen/dcockan , 2013-03-08 22:38:46 , DCO customization on CKAN,unk,,
murphy99/CIDP , 2013-09-02 15:02:48 , CIDP - CKAN ,unk,,
NaturalHistoryMuseum/ckanext-dev , 2014-04-01 11:36:44 , CKAN extention for development tools.,unk,,
NaturalHistoryMuseum/ckanext-map , 2014-05-07 10:56:36 , Map visualisation for NHM CKAN,spatial,,
NaturalHistoryMuseum/ckanext-nhm , 2014-04-17 14:14:42 , CKAN extension for data.nhm.ac.uk,local,,
NaturalHistoryMuseum/dataportal-server-provision , 2014-05-06 16:25:30 ," Provision script for dataportal servers (postgres, solr, ckan application server)",install,,
ngds/ckanext-geoserver , 2014-04-15 17:49:47 , ,spatial,,
